,VIAT_ID,LCLASDC,MLSFCDC,SCLASDC,DCLASDC,BCLASDC,VIAT_NM,X_VALUE,Y_VALUE,latitude,longitude
1721,AA0005535314,산업,서비스산업,금융/보험업,기타금융업,,부국증권,211808.305031,444233.005807,37.49748174141319,127.13353515851972
1722,AA0006562356,교육/보건,보건시설,한의원,,,사랑나무한의원,192371.57234800002,441992.93791700003,37.47734254604485,126.91375646124314
1723,AA0009423980,산업,서비스산업,종합상품판매업,할인매장,미분류,금하마트,204005.914624,451812.56385,37.565840420246616,127.04534257801117
1724,AA0000163464,교육/보건,보건시설,한의원,,,오대한의원,206803.47498199999,456989.50052299997,37.612467780703376,127.07705595619113
1725,AA0000162530,교육/보건,보건시설,한의원,,,동산권중진한의원,205159.843096,443443.389254,37.49042830500282,127.05834502086694
1726,AA0006502298,산업,서비스산업,종합상품판매업,편의점,CU,씨유,195477.663168,442388.57693900005,37.48092770217986,126.94887006754422
1727,AA0000162766,교육/보건,보건시설,한의원,,,민재한의원,200940.710806,452564.555924,37.57262406211557,127.01064878481044
1728,AA0006717665,산업,서비스산업,언론/미디어,음반/비디오,,친절비디오,192706.72806,455345.819858,37.59765464422068,126.9174129974499
1729,AA0000174168,교육/보건,교육시설,기타교육기관,특수학교,,서울인강학교,203723.67014200002,466106.698375,37.69462974829298,127.04222067355445
1730,AA0005533345,산업,서비스산업,금융/보험업,기타금융업,,동양증권,205020.379428,445403.42401400005,37.5080891000565,127.05678140429599
1731,AA0002122235,교육/보건,교육시설,유아교육기관,사립유치원,,송림유치원,196768.360958,443292.777772,37.48908003987146,126.96345883777161
1732,AA0002133151,교육/보건,교육시설,대학교,종합대학,부속시설,법과대학,195743.631355,440341.199754,37.46248188929156,126.95188895089717
1733,AA0006561986,교육/보건,보건시설,한의원,,,보광한의원,211541.289661,449109.55137299997,37.5414228308359,127.13059215269429
1734,AA0003897745,산업,서비스산업,종합상품판매업,시장,전통시장,수유중앙시장,201891.0888,460077.558133,37.640313983170536,127.02142640905063
1735,AA0003897715,산업,서비스산업,종합상품판매업,시장,전통시장,보광재래시장,200035.278847,447500.764046,37.52699985248177,127.00039911089537
1736,AA0001386276,레저/관광/예술,문화/예술시설,박물관,미분류,,덕성여대박물관,201329.22710999998,461324.053085,37.651545684702036,127.01506267327595
1737,AA0000164373,교육/보건,보건시설,한의원,,,장대건한의원,203676.433658,446234.61326899996,37.515584477813206,127.04158529237877
1738,AA0010083485,교육/보건,보건시설,기타보건시설,약국,미분류,인화약국,194282.42163199998,449500.96231800003,37.54500392757944,126.93530127641768
1739,AA0010145016,산업,서비스산업,종합상품판매업,편의점,GS25,GS25,203912.740748,457851.45017299993,37.62025068041214,127.0443202074032
1740,AA0003136075,산업,서비스산업,종합상품판매업,백화점,미분류,엠플라자,198685.73751900002,451454.129462,37.562618709698576,126.98512462449351
