,VIAT_ID,LCLASDC,MLSFCDC,SCLASDC,DCLASDC,BCLASDC,VIAT_NM,X_VALUE,Y_VALUE,latitude,longitude,sido,gu,dong
11313,AA0000042780,교육/보건,교육시설,유아교육기관,어린이집,,세모네모재능어린이집,206939.8105,455621.6824,37.60014287,127.0785871,서울특별시,중랑구,중화2동
11314,AA0000089991,교육/보건,보건시설,기타보건시설,약국,지역약국,백화점약국,202610.2122,460107.4009,37.6405811,127.0295743,서울특별시,강북구,번1동
11315,AA0006788740,산업,서비스산업,언론/미디어,기타언론/미디어,,형제기획,203489.4144,441892.9098,37.47646617,127.0394493,서울특별시,서초구,양재1동
11316,AA0002137297,교육/보건,교육시설,대학교,종교대학,불교대학,관음선원당고개불교대학,206963.1525,463819.0674,37.67399985,127.0789295,서울특별시,노원구,상계3.4동
11317,AA0005534375,산업,서비스산업,금융/보험업,일반은행,새마을금고,새마을금고,206482.7871,458409.3572,37.62526282,127.0734364,서울특별시,노원구,공릉1동
11318,AA0006603314,교육/보건,보건시설,기타보건시설,약국,온누리,온누리건강약국,207135.268,445017.5035,37.50459802,127.0806974,서울특별시,송파구,잠실본동
11319,AA0010766189,산업,서비스산업,언론/미디어,음반/비디오,,아트콜라보,192887.4749,451083.1517,37.55924971,126.9195011,서울특별시,마포구,연남동
11320,AA0009207648,산업,서비스산업,언론/미디어,음반/비디오,,트웬티세븐,192170.1307,442815.1824,37.48474935,126.9114703,서울특별시,관악구,조원동
11321,AA0010766537,산업,서비스산업,언론/미디어,음반/비디오,,베티카,190335.5716,452950.2901,37.57604929,126.8905943,서울특별시,마포구,상암동
11322,AA0006607733,교육/보건,보건시설,기타보건시설,약국,미분류,하나약국,187863.5524,448076.3023,37.53210564,126.8626906,서울특별시,강서구,화곡4동
11323,AA0006595605,교육/보건,보건시설,기타보건시설,약국,미분류,내인당약국,185525.5785,450539.7992,37.55426793,126.8361907,서울특별시,강서구,발산1동
11324,AA0003143980,교육/보건,보건시설,병/의원,미분류,,함의원,200702.7697,445010.3376,37.50456075,127.0079481,서울특별시,서초구,반포4동
11325,AA0002124278,교육/보건,교육시설,유아교육기관,사립유치원,,미도유치원,187714.6632,450114.2788,37.55046578,126.860972,서울특별시,강서구,등촌2동
11326,AA0002132000,교육/보건,교육시설,대학교,종합대학,부속시설,전산정보관,196181.7589,445058.3447,37.50498567,126.9568168,서울특별시,동작구,흑석동
11327,AA0007233017,교육/보건,보건시설,기타보건시설,약국,미분류,인선약국,195492.5651,449185.2738,37.54216629,126.9489969,서울특별시,마포구,용강동
11328,AA0006568043,교육/보건,보건시설,한의원,,,화선당한의원,194348.2142,444651.4502,37.50131013,126.9360831,서울특별시,동작구,상도4동
11329,AA0002131522,교육/보건,교육시설,대학교,종합대학,부속시설,인문학관,205383.9953,453779.672,37.58355693,127.0609554,서울특별시,동대문구,전농2동
11330,AA0006625273,교육/보건,보건시설,한의원,,,연우당한의원,190794.5205,445467.8877,37.50863768,126.8958836,서울특별시,영등포구,도림동
11331,AA0002131293,교육/보건,교육시설,대학교,종합대학,부속시설,정경대학,204889.8232,455278.6356,37.59706523,127.0553706,서울특별시,동대문구,이문1동
11332,AA0000552445,산업,서비스산업,금융/보험업,일반은행,우리은행,우리은행,194490.6345,450604.4931,37.55494798,126.9376491,서울특별시,마포구,대흥동
11333,AA0006526664,교육/보건,보건시설,병/의원,미분류,,번동제일의원,203016.0142,459611.3676,37.63611067,127.0341701,서울특별시,강북구,번1동
11334,AA0009514614,교육/보건,교육시설,유아교육기관,어린이집,,참나무어린이집,191761.7995,451881.47,37.56643314,126.9067518,서울특별시,마포구,성산2동
11335,AA0006501518,산업,서비스산업,종합상품판매업,편의점,미분류,훼미리마트,194064.4223,452493.9517,37.57196928,126.9328102,서울특별시,서대문구,연희동
