STDR_YM,VIAT_SE_CD,VIAT_CD,VIAT_ID,LCLASDC,MLSFCDC,SCLASDC,DCLASDC,BCLASDC,VIAT_NM,ADRES_CD,ADRES_NM,TELNO,X_VALUE,Y_VALUE,ADRES_SP,BLCK_CD,REGIST_DE,ERSR_DE,REGIST_DT
,030205,0106,AA0000091367,교육/보건,보건시설,기타보건시설,약국,지역약국,보람약국,,,,193879.443933,447398.013735,,,,,
,030205,0106,AA0000090010,교육/보건,보건시설,기타보건시설,약국,지역약국,한독약국,,,,201939.943299,459920.756883,,,,,
,030204,0000,AA0006564083,교육/보건,보건시설,한의원,,,양평당한의원,,,,207792.158593,454304.693993,,,,,
,030204,0000,AA0006562064,교육/보건,보건시설,한의원,,,보원한의원,,,,192691.909061,454183.296641,,,,,
,030205,0100,AA0006595404,교육/보건,보건시설,기타보건시설,약국,미분류,나나약국,,,,193465.372166,443616.365290,,,,,
,030102,0200,AA0002108243,교육/보건,교육시설,초등교육기관,공립초등학교,,서울정곡초등학교,,,,184001.623088,453056.634074,,,,,
,030205,0100,AA0006604396,교육/보건,보건시설,기타보건시설,약국,미분류,육교약국,,,,192175.893820,445120.092356,,,,,
,030204,0000,AA0006560024,교육/보건,보건시설,한의원,,,농림한의원,,,,203331.753996,453672.710845,,,,,
,030204,0000,AA0000164677,교육/보건,보건시설,한의원,,,예당한의원,,,,195351.902821,448923.425309,,,,,
,070308,0600,AA0006717668,산업,서비스산업,언론/미디어,음반/비디오,,칸느비디오,,,,193216.529257,457298.280644,,,,,
,070301,0503,AA0006501556,산업,서비스산업,종합상품판매업,편의점,CU,씨유,,,,194023.959913,445429.026414,,,,,
,070305,0106,AA0000556511,산업,서비스산업,금융/보험업,일반은행,한국씨티은행,씨티은행,,,,205095.270188,461594.228349,,,,,
,070301,0503,AA0006393084,산업,서비스산업,종합상품판매업,편의점,CU,씨유,,,,192692.001589,450405.853422,,,,,
,030101,0100,AA0000046088,교육/보건,교육시설,유아교육기관,어린이집,,새중앙어린이집,,,,190500.193729,443813.696185,,,,,
,070301,0600,AA0005194273,산업,서비스산업,종합상품판매업,기타종합상품판매업,,모아베이비,,,,204976.884777,453206.279153,,,,,
,070301,0503,AA0006504695,산업,서비스산업,종합상품판매업,편의점,CU,씨유,,,,200127.503278,451039.635120,,,,,
,030103,0100,AA0002114889,교육/보건,교육시설,중등교육기관,사립중학교,,혜원여자중학교,,,,208542.796421,454804.887998,,,,,
,070301,0600,AA0003168916,산업,서비스산업,종합상품판매업,기타종합상품판매업,,강원축산,,,,203410.528523,453345.000888,,,,,
,030204,0000,AA0000163458,교육/보건,보건시설,한의원,,,초당한의원,,,,196420.921677,443161.882593,,,,,
,030105,0204,AA0002130663,교육/보건,교육시설,대학교,종합대학,부속시설,KC대학교연구단지,,,,187255.237274,450349.924814,,,,,
,030204,0000,AA0000164276,교육/보건,보건시설,한의원,,,수비경희한의원,,,,202889.460654,455762.179449,,,,,
,070301,0505,AA0010144426,산업,서비스산업,종합상품판매업,편의점,미니스톱,미니스톱,,,,185807.722351,443945.829103,,,,,
,030205,0100,AA0010084181,교육/보건,보건시설,기타보건시설,약국,미분류,미소그린약국,,,,195236.288027,449595.069304,,,,,
,070305,0103,AA0000553475,산업,서비스산업,금융/보험업,일반은행,한국스탠다드차타드은행,스탠다드차타드은행,,,,205437.353456,456346.972764,,,,,
,060204,0102,AA0009201656,레저/관광/예술,문화/예술시설,극장,일반영화관,롯데시네마,롯데시네마,,,,204905.821356,464103.211293,,,,,
,030204,0000,AA0006562131,교육/보건,보건시설,한의원,,,본초한의원,,,,198432.245262,452656.248308,,,,,
,030204,0000,AA0000164668,교육/보건,보건시설,한의원,,,참한의원,,,,203180.578361,456513.024549,,,,,
,030205,0106,AA0000090811,교육/보건,보건시설,기타보건시설,약국,지역약국,홍주약국,,,,197334.829758,446823.152082,,,,,
,030101,0100,AA0000047463,교육/보건,교육시설,유아교육기관,어린이집,,삼성서울병원어린이집,,,,207785.759405,442902.115284,,,,,
,060203,0000,AA0002570765,레저/관광/예술,문화/예술시설,박물관,미분류,,옹기민속박물관,,,,201297.466989,461652.012289,,,,,
,030105,0104,AA0002133094,교육/보건,교육시설,대학교,전문대학,부속시설,복지동,,,,199747.244748,442402.246209,,,,,
,030101,0100,AA0000046233,교육/보건,교육시설,유아교육기관,어린이집,,새롬마을어린이집,,,,186011.401126,444209.009299,,,,,
,030103,0200,AA0002115579,교육/보건,교육시설,중등교육기관,공립중학교,,미성중학교,,,,192231.691057,441772.111187,,,,,
,030103,0200,AA0002114968,교육/보건,교육시설,중등교육기관,공립중학교,,중화중학교,,,,208395.564658,453897.742275,,,,,
,060203,0000,AA0003893132,레저/관광/예술,문화/예술시설,박물관,미분류,,서울대학교치의학박물관,,,,199773.196018,453139.569791,,,,,
,070308,0800,AA0006789896,산업,서비스산업,언론/미디어,기타언론/미디어,,따뜻한영화사,,,,207342.518397,448373.940321,,,,,
,030105,0500,AA0003122907,교육/보건,교육시설,대학교,대학원,,북한대학원대학교,,,,198527.503755,454118.323115,,,,,
,060204,0102,AA0009183326,레저/관광/예술,문화/예술시설,극장,일반영화관,롯데시네마,롯데시네마,,,,182153.789361,451580.256202,,,,,
,030205,0100,AA0006597477,교육/보건,보건시설,기타보건시설,약국,미분류,메디약국,,,,204837.600001,454565.075458,,,,,
,030204,0000,AA0006560862,교육/보건,보건시설,한의원,,,동의보감한의원,,,,192760.807794,453643.456886,,,,,
,070308,0600,AA0006781866,산업,서비스산업,언론/미디어,음반/비디오,,맥스DVD,,,,206553.074830,462302.278379,,,,,
,030102,0200,AA0002108955,교육/보건,교육시설,초등교육기관,공립초등학교,,서울묵동초등학교,,,,207185.457102,456082.173086,,,,,
,030105,0302,AA0002131484,교육/보건,교육시설,대학교,정보통신대학,사이버종합대학,한양종합기술연구원,,,,204139.762307,450910.919893,,,,,
,070305,0104,AA0000551587,산업,서비스산업,금융/보험업,일반은행,신한은행,신한은행,,,,203999.877198,453323.127643,,,,,
,030105,0204,AA0002131932,교육/보건,교육시설,대학교,종합대학,부속시설,헬렌관,,,,195443.739721,451405.869591,,,,,
,070301,0502,AA0010147061,산업,서비스산업,종합상품판매업,편의점,GS25,지에스25,,,,201455.459643,454717.137252,,,,,
,030204,0000,AA0006560069,교육/보건,보건시설,한의원,,,늘푸른한의원,,,,190647.863694,442002.792423,,,,,
,030205,0106,AA0000093560,교육/보건,보건시설,기타보건시설,약국,지역약국,효림약국,,,,206589.381195,457554.585225,,,,,
,030101,0100,AA0000042496,교육/보건,교육시설,유아교육기관,어린이집,,금색동어린이집,,,,208284.492181,450330.727548,,,,,
,070301,0200,AA0000549336,산업,서비스산업,종합상품판매업,할인매장,미분류,지에스리테일GS수퍼성북돈암점,,,,201586.434313,455483.134437,,,,,
,030105,0204,AA0002131990,교육/보건,교육시설,대학교,종합대학,부속시설,봅스트홀,,,,196273.498371,444925.780751,,,,,
,030101,0100,AA0000042454,교육/보건,교육시설,유아교육기관,어린이집,,해달별어린이집,,,,208075.582862,448604.928427,,,,,
,030205,0100,AA0006601286,교육/보건,보건시설,기타보건시설,약국,미분류,솔약국,,,,187753.570300,450886.776750,,,,,
,070301,0502,AA0006498341,산업,서비스산업,종합상품판매업,편의점,GS25,GS25,,,,189580.435566,442572.342289,,,,,
,030204,0000,AA0006567770,교육/보건,보건시설,한의원,,,허영진한의원,,,,199397.448669,443091.657849,,,,,
,030204,0000,AA0000162694,교육/보건,보건시설,한의원,,,성행한의원,,,,210448.512457,445597.332853,,,,,
,030103,0200,AA0002115851,교육/보건,교육시설,중등교육기관,공립중학교,,수서중학교,,,,209056.969993,443523.112056,,,,,
,030205,0106,AA0000090756,교육/보건,보건시설,기타보건시설,약국,지역약국,박약국,,,,188043.995948,449886.944067,,,,,
,030105,0104,AA0004751634,교육/보건,교육시설,대학교,전문대학,부속시설,학생회관,,,,199744.828844,447752.318718,,,,,
,030101,0300,AA0002123848,교육/보건,교육시설,유아교육기관,사립유치원,,색동유치원,,,,206921.797838,454683.213260,,,,,
,070308,0600,AA0006783759,산업,서비스산업,언론/미디어,음반/비디오,,LG25장충점,,,,200474.277629,451295.579115,,,,,
,070301,0302,AA0002577017,산업,서비스산업,종합상품판매업,대형상가,일반종합상가,밀리오레,,,,194912.907026,451147.947387,,,,,
,070301,0503,AA0006505242,산업,서비스산업,종합상품판매업,편의점,CU,씨유,,,,201149.019249,462100.396732,,,,,
,030105,0204,AA0002131226,교육/보건,교육시설,대학교,종합대학,부속시설,약학관,,,,203652.821418,456314.460284,,,,,
,030101,0100,AA0000041849,교육/보건,교육시설,유아교육기관,어린이집,,참예은어린이집,,,,207382.200505,455017.796522,,,,,
,070305,0301,AA0003146331,산업,서비스산업,금융/보험업,생명보험,ING생명,ING생명,,,,202514.556364,444242.658537,,,,,
,030105,0204,AA0002133145,교육/보건,교육시설,대학교,종합대학,부속시설,미대야외조각실습실,,,,195839.688967,440525.780589,,,,,
,030205,0100,AA0006606115,교육/보건,보건시설,기타보건시설,약국,미분류,지성약국,,,,195060.433426,444285.091683,,,,,
,070305,0104,AA0000552367,산업,서비스산업,금융/보험업,일반은행,신한은행,신한은행,,,,193297.939252,447262.872043,,,,,
,030104,0200,AA0002126331,교육/보건,교육시설,고등교육기관,공립고등학교,,창동고등학교,,,,203463.356704,461269.403834,,,,,
,030204,0000,AA0003148020,교육/보건,보건시설,한의원,,,경수한의원,,,,202344.334952,444271.766055,,,,,
,030204,0000,AA0000163946,교육/보건,보건시설,한의원,,,경희윤한의원,,,,197509.510690,442753.503832,,,,,
,030104,0100,AA0002128153,교육/보건,교육시설,고등교육기관,사립고등학교,,은평메디텍고등학교,,,,193740.025915,459495.910592,,,,,
,070305,0101,AA0000555299,산업,서비스산업,금융/보험업,일반은행,국민은행,KB국민은행,,,,190299.874482,446871.793069,,,,,
,070305,0309,AA0003135568,산업,서비스산업,금융/보험업,생명보험,동양생명,동양생명,,,,198784.863244,451813.796463,,,,,
,070301,0502,AA0010145229,산업,서비스산업,종합상품판매업,편의점,GS25,GS25,,,,203352.948518,461337.842459,,,,,
