sido,gu,dong
서울특별시,강남구,31
서울특별시,강동구,13
서울특별시,강북구,11
서울특별시,강서구,20
서울특별시,관악구,7
서울특별시,광진구,11
서울특별시,구로구,12
서울특별시,금천구,4
서울특별시,노원구,15
서울특별시,도봉구,8
서울특별시,동대문구,14
서울특별시,동작구,14
서울특별시,마포구,23
서울특별시,서대문구,9
서울특별시,서초구,21
서울특별시,성동구,20
서울특별시,성북구,14
서울특별시,송파구,29
서울특별시,양천구,8
서울특별시,영등포구,20
서울특별시,용산구,16
서울특별시,은평구,13
서울특별시,종로구,14
서울특별시,중구,26
서울특별시,중랑구,15
