,name,longitude_x,latitude_x,latitude_y,longitude_y,sido,gu,dong
8717,봉현초등학교,126.9554672808,37.4907157496,37.4907157496,126.9554672808,서울특별시,관악구,성현동
8718,동아아파트105동앞,126.9553589378,37.4903444538,37.4903444538,126.9553589378,서울특별시,관악구,성현동
8719,관악드림타운115동,126.9528608066,37.4904101652,37.4904101652,126.9528608066,서울특별시,관악구,성현동
8720,관악드림타운115동,126.9528191458,37.4901217953,37.4901217953,126.9528191458,서울특별시,관악구,성현동
8721,관악드림타운북문,126.951276815,37.491600782,37.491600782,126.951276815,서울특별시,관악구,성현동
8722,관악드림타운북문,126.9507566291,37.4915663244,37.4915663244,126.9507566291,서울특별시,관악구,성현동
8723,구암중학교,126.948533878,37.4923781727,37.4923781727,126.948533878,서울특별시,관악구,성현동
8724,구암중학교,126.9484390838,37.4920852727,37.4920852727,126.9484390838,서울특별시,관악구,성현동
8725,벽산아파트.선의사회복지관,126.946532,37.492953,37.492953,126.946532,서울특별시,관악구,성현동
8726,벽산아파트.선의사회복지관,126.946115626,37.4929186579,37.4929186579,126.946115626,서울특별시,관악구,성현동
8727,벽산블루밍벽산아파트303동앞,126.9447265096,37.491874538,37.491874538,126.9447265096,서울특별시,관악구,성현동
8728,구로디지털단지역,126.9027978872,37.4837645777,37.4837645777,126.9027978872,서울특별시,관악구,조원동
8729,현대시장,126.947836543,37.4868811315,37.4868811315,126.947836543,서울특별시,관악구,성현동
8730,서울대입구역,126.9526785586,37.4799356496,37.4799356496,126.9526785586,서울특별시,관악구,낙성대동
8731,신봉초등학교입구,126.9467765186,37.4843260268,37.4843260268,126.9467765186,서울특별시,관악구,중앙동
8732,구암초등학교,126.9461216984,37.4891880904,37.4891880904,126.9461216984,서울특별시,관악구,은천동
8733,은천동벽산블루밍아파트105동,126.9458637343,37.4893681933,37.4893681933,126.9458637343,서울특별시,관악구,은천동
8734,은천동두산아파트3단지,126.9466667326,37.4844674508,37.4844674508,126.9466667326,서울특별시,관악구,은천동
8735,봉일시장,126.9372434322,37.4850728694,37.4850728694,126.9372434322,서울특별시,관악구,은천동
8736,봉천역,126.9420825336,37.4830217223,37.4830217223,126.9420825336,서울특별시,관악구,은천동
8737,현대시장,126.9465909455,37.4876789537,37.4876789537,126.9465909455,서울특별시,관악구,성현동
8738,현대시장,126.9466161155,37.4872689625,37.4872689625,126.9466161155,서울특별시,관악구,성현동
8739,관악우체국(양지병원),126.933156959,37.4848480554,37.4848480554,126.933156959,서울특별시,관악구,신림동
8740,관악우체국.양지병원,126.9331482652,37.4844524654,37.4844524654,126.9331482652,서울특별시,관악구,서원동
8741,보라매삼성아파트.모자원고개,126.9273975559,37.4945144044,37.4945144044,126.9273975559,서울특별시,관악구,보라매동
8742,조원동기점,126.905895,37.483513,37.483513,126.905895,서울특별시,관악구,조원동
8743,난향동주민센터,126.9193412008,37.4604762125,37.4604762125,126.9193412008,서울특별시,관악구,난향동
8744,관악산휴먼시아아파트1단지입구,126.9219633037,37.4609276261,37.4609276261,126.9219633037,서울특별시,관악구,난향동
8745,관악산휴먼시아아파트1단지입구,126.921921,37.461102,37.461102,126.921921,서울특별시,관악구,난향동
8746,난향동주민센터,126.919167,37.461001,37.461001,126.919167,서울특별시,관악구,난향동
8747,서울대정문,126.9482401845,37.4656566538,37.4656566538,126.9482401845,서울특별시,관악구,대학동
8748,법대.사회대입구,126.9488365648,37.4631049757,37.4631049757,126.9488365648,서울특별시,관악구,대학동
8749,자연대.행정관입구,126.9488328413,37.4602745925,37.4602745925,126.9488328413,서울특별시,관악구,대학동
8750,농생대,126.9490159586,37.4569594921,37.4569594921,126.9490159586,서울특별시,관악구,대학동
8751,공대입구,126.9497000515,37.4549413004,37.4549413004,126.9497000515,서울특별시,관악구,대학동
8752,신소재,126.9500671909,37.45357176949999,37.45357176949999,126.9500671909,서울특별시,관악구,대학동
8753,제2공학관,126.9520946033,37.4488399789,37.4488399789,126.9520946033,서울특별시,관악구,대학동
8754,제1공학관,126.952595,37.451283,37.451283,126.952595,서울특별시,관악구,대학동
8755,유전공학연구소.반도체공동연구소,126.9539020813,37.4540103657,37.4540103657,126.9539020813,서울특별시,관악구,대학동
8756,교수회관입구,126.9553487986,37.4560708573,37.4560708573,126.9553487986,서울특별시,관악구,대학동
8757,관악사삼거리,126.9564570475,37.4610516998,37.4610516998,126.9564570475,서울특별시,관악구,대학동
8758,국제대학원,126.9553134553,37.4641772176,37.4641772176,126.9553134553,서울특별시,관악구,대학동
8759,수의대입구.보건대학원앞,126.954601225,37.4660981082,37.4660981082,126.954601225,서울특별시,관악구,대학동
8760,경영대,126.952053,37.46613499999999,37.466135,126.952053,서울특별시,관악구,대학동
8761,경영대,126.9509137906,37.4656866301,37.4656866301,126.9509137906,서울특별시,관악구,대학동
8762,수의대입구.보건대학원앞,126.954645472,37.4658377051,37.4658377051,126.954645472,서울특별시,관악구,대학동
8763,국제대학원,126.9548276754,37.4636381703,37.4636381703,126.9548276754,서울특별시,관악구,대학동
8764,관악사삼거리,126.95666,37.460528,37.460528,126.95666,서울특별시,관악구,대학동
8765,공동기기원,126.9544665701,37.4551189492,37.4551189492,126.9544665701,서울특별시,관악구,대학동
8766,유전공학연구소.반도체공동연구소,126.9534309255,37.453706507,37.453706507,126.9534309255,서울특별시,관악구,대학동
8767,에너지자원연구소,126.9522069384,37.4534762355,37.4534762355,126.9522069384,서울특별시,관악구,대학동
8768,공대입구,126.949896448,37.4553640041,37.4553640041,126.949896448,서울특별시,관악구,대학동
8769,농생대,126.9493877458,37.4571128404,37.4571128404,126.9493877458,서울특별시,관악구,대학동
8770,자연대.행정관입구,126.9490319064,37.4601097757,37.4601097757,126.9490319064,서울특별시,관악구,대학동
8771,서울대본부앞,126.9504521932,37.461084478,37.461084478,126.9504521932,서울특별시,관악구,대학동
8772,문화관입구,126.9494503629,37.4614868493,37.4614868493,126.9494503629,서울특별시,관악구,대학동
8773,법대.사회대입구,126.9491541718,37.4631817069,37.4631817069,126.9491541718,서울특별시,관악구,대학동
8774,서울대정문,126.9487039701,37.4652441487,37.4652441487,126.9487039701,서울특별시,관악구,대학동
8775,우방아파트,126.919247,37.489233,37.489233,126.919247,서울특별시,관악구,신사동
8776,세진마트,126.9220747388,37.4875220522,37.4875220522,126.9220747388,서울특별시,관악구,신사동
8777,신사동주민센터,126.922874407,37.4862529208,37.4862529208,126.922874407,서울특별시,관악구,신사동
8778,신관카센타,126.9245166934,37.4847770708,37.4847770708,126.9245166934,서울특별시,관악구,신사동
8779,신관카센타,126.9246318378,37.4849717829,37.4849717829,126.9246318378,서울특별시,관악구,신사동
8780,남부초교앞,126.9223257951,37.4864174635,37.4864174635,126.9223257951,서울특별시,관악구,신사동
8781,청담고시원,126.9408120032,37.4709922281,37.4709922281,126.9408120032,서울특별시,관악구,서림동
8782,우리슈퍼,126.9394113211,37.4722647822,37.4722647822,126.9394113211,서울특별시,관악구,서림동
8783,명호고시원,126.9388598502,37.47333321070001,37.47333321070001,126.9388598502,서울특별시,관악구,서림동
8784,동작마트,126.9384475883,37.4742097733,37.4742097733,126.9384475883,서울특별시,관악구,서림동
8785,제일성도교회,126.9404392562,37.4748334585,37.4748334585,126.9404392562,서울특별시,관악구,서림동
8786,삼양슈퍼,126.9420977509,37.4750244163,37.4750244163,126.9420977509,서울특별시,관악구,서림동
8787,금성마트용천사,126.942807788,37.4750292676,37.4750292676,126.942807788,서울특별시,관악구,서림동
8788,삼양슈퍼,126.9421136493,37.4749343135,37.4749343135,126.9421136493,서울특별시,관악구,서림동
8789,제일성도교회,126.9404789678,37.4746577628,37.4746577628,126.9404789678,서울특별시,관악구,서림동
8790,동작마트,126.9381157325,37.4749160674,37.4749160674,126.9381157325,서울특별시,관악구,서림동
8791,고시촌입구,126.9376252893,37.4705301233,37.4705301233,126.9376252893,서울특별시,관악구,대학동
8792,대학동치안센터,126.9376975668,37.4692632048,37.4692632048,126.9376975668,서울특별시,관악구,대학동
8793,대학동노인정,126.93757,37.46735,37.46735,126.93757,서울특별시,관악구,대학동
8794,금호타운아파트,126.9374889346,37.4659235904,37.4659235904,126.9374889346,서울특별시,관악구,대학동
8795,금호타운아파트,126.9377037327,37.4659200994,37.4659200994,126.9377037327,서울특별시,관악구,대학동
8796,대학동노인정,126.9376868773,37.4671591135,37.4671591135,126.9376868773,서울특별시,관악구,대학동
8797,대학동치안센터,126.9377735833,37.4689379452,37.4689379452,126.9377735833,서울특별시,관악구,대학동
8798,서울대입구역,126.9524440164,37.4807005941,37.4807005941,126.9524440164,서울특별시,관악구,청룡동
8799,청림동현대아파트,126.957561,37.491334,37.491334,126.957561,서울특별시,관악구,청림동
8800,청림동현대아파트,126.959384,37.491948,37.491948,126.959384,서울특별시,관악구,청림동
8801,보성운수기종점,126.9189608386,37.4641200337,37.4641200337,126.9189608386,서울특별시,관악구,난향동
8802,난곡공영차고지,126.918963,37.463938,37.463938,126.918963,서울특별시,관악구,난향동
8803,한남운수대학동차고지,126.9398175867,37.4703789731,37.4703789731,126.9398175867,서울특별시,관악구,대학동
8804,한남운수대학동차고지,126.9397046653,37.4702104085,37.4702104085,126.9397046653,서울특별시,관악구,대학동
8805,제2공학관,126.9521425546,37.4480848677,37.4480848677,126.9521425546,서울특별시,관악구,대학동
8806,건설환경종합연구소앞,126.9498432127,37.4470638572,37.4470638572,126.9498432127,서울특별시,관악구,대학동
8807,봉일시장,126.9375179258,37.4854190392,37.4854190392,126.9375179258,서울특별시,관악구,은천동
8808,보라매공영주차장,126.9342323482,37.4887044852,37.4887044852,126.9342323482,서울특별시,관악구,보라매동
8809,당곡중고교,126.9340425015,37.4911229426,37.4911229426,126.9340425015,서울특별시,관악구,보라매동
8810,연희빌라,126.9338264553,37.4924591587,37.4924591587,126.9338264553,서울특별시,관악구,보라매동
8811,재넘이고개,126.9353043229,37.4927140884,37.4927140884,126.9353043229,서울특별시,관악구,보라매동
8812,연희빌라,126.9337212672,37.4924753196,37.4924753196,126.9337212672,서울특별시,관악구,보라매동
8813,당곡중고교,126.9338830387,37.4911327656,37.4911327656,126.9338830387,서울특별시,관악구,보라매동
8814,보라매공영주차장,126.9341339458,37.4887260569,37.4887260569,126.9341339458,서울특별시,관악구,보라매동
8815,신림사거리.신림역,126.9282759755,37.4841991011,37.4841991011,126.9282759755,서울특별시,관악구,신림동
8816,신사동주민센터.신사시장,126.9178057215,37.4855925982,37.4855925982,126.9178057215,서울특별시,관악구,신사동
8817,건영유치원,126.9149940281,37.4850634625,37.4850634625,126.9149940281,서울특별시,관악구,신사동
8818,신대방역,126.9136841115,37.4864484117,37.4864484117,126.9136841115,서울특별시,관악구,신사동
8819,난곡사거리,126.9143644137,37.4828760264,37.4828760264,126.9143644137,서울특별시,관악구,신사동
8820,난곡사거리,126.9141698506,37.4829398637,37.4829398637,126.9141698506,서울특별시,관악구,조원동
8821,신대방역,126.9134840538,37.4863653637,37.4863653637,126.9134840538,서울특별시,관악구,조원동
8822,신사시장.평화교회,126.9138969179,37.4842913224,37.4842913224,126.9138969179,서울특별시,관악구,조원동
8823,신사시장.선한이웃교회,126.9140379945,37.4845275146,37.4845275146,126.9140379945,서울특별시,관악구,신사동
8824,신림체육센터,126.9149667685,37.4801812557,37.4801812557,126.9149667685,서울특별시,관악구,미성동
8825,신사동진양빌딩앞,126.9147027367,37.4876494225,37.4876494225,126.9147027367,서울특별시,관악구,신사동
8826,호림박물관,126.918618871,37.4823672056,37.4823672056,126.918618871,서울특별시,관악구,미성동
8827,보성운수차고지맞은편,126.9192632133,37.4646708176,37.4646708176,126.9192632133,서울특별시,관악구,난향동
8828,조원아파트,126.90782,37.484088,37.484088,126.90782,서울특별시,관악구,조원동
8829,성원홈아파트,126.9344142103,37.4902310566,37.4902310566,126.9344142103,서울특별시,관악구,보라매동
8830,성원홈아파트,126.9343000164,37.4902039601,37.4902039601,126.9343000164,서울특별시,관악구,보라매동
8831,신림빗물펌프장,126.9073595446,37.4845729289,37.4845729289,126.9073595446,서울특별시,관악구,조원동
8832,봉천사거리.위버폴리스,126.9535723145,37.4827934095,37.4827934095,126.9535723145,서울특별시,관악구,중앙동
8833,서원동승리교앞,126.9298128811,37.4815886215,37.4815886215,126.9298128811,서울특별시,관악구,서원동
8834,서울난향초등학교,126.9188888522,37.4627367836,37.4627367836,126.9188888522,서울특별시,관악구,난향동
8835,은천길입구,126.9338192882,37.4864830322,37.4864830322,126.9338192882,서울특별시,관악구,신림동
8836,대학동샘말공원,126.9383464994,37.4651382749,37.4651382749,126.9383464994,서울특별시,관악구,대학동
8837,서울대학교.치과병원.동물병원,126.9520815656,37.4692744185,37.4692744185,126.9520815656,서울특별시,관악구,대학동
8838,서울대학교.치과병원.동물병원,126.951937,37.47003400000001,37.47003400000001,126.951937,서울특별시,관악구,서림동
8839,신림2교,126.93678,37.477526,37.477526,126.93678,서울특별시,관악구,서원동
8840,서울대학교,126.9496319032,37.4676609636,37.4676609636,126.9496319032,서울특별시,관악구,서림동
8841,신림역2번출구,126.929897162,37.4833220413,37.4833220413,126.929897162,서울특별시,관악구,서원동
8842,벽산블루밍아파트종점,126.9446537056,37.4920953186,37.4920953186,126.9446537056,서울특별시,관악구,성현동
8843,아카시아마을.민방위교육장,126.9110629666,37.4720765376,37.4720765376,126.9110629666,서울특별시,관악구,미성동
8844,난향동공영차고지,126.9189072689,37.4634784081,37.4634784081,126.9189072689,서울특별시,관악구,난향동
8845,청림동푸르지오아파트121동앞,126.9606640782,37.4855867055,37.4855867055,126.9606640782,서울특별시,관악구,청림동
8846,보명사.법화사,126.9248318555,37.4760734942,37.4760734942,126.9248318555,서울특별시,관악구,난곡동
8847,현대아파트후문,126.9304689235,37.4752551368,37.4752551368,126.9304689235,서울특별시,관악구,서림동
8848,GS편의점.소망유통,126.9686576958,37.4693187251,37.4693187251,126.9686576958,서울특별시,관악구,인헌동
8849,국사봉,126.9415017348,37.4911953553,37.4911953553,126.9415017348,서울특별시,관악구,은천동
8850,봉천역,126.9407806333,37.4835247948,37.4835247948,126.9407806333,서울특별시,관악구,은천동
